0.00000,0.00001
0.00300,8.51400
0.00600,21.71800
0.00900,32.10400
0.01200,40.16900
0.01500,46.41000
0.01900,51.32200
0.02200,55.40200
0.02500,59.14700
0.02800,63.05400
0.03100,67.61700
0.03400,69.90200
0.03700,68.82400
0.04100,82.36800
0.04400,105.21600
0.04700,127.96500
0.05000,155.12100
0.05300,180.58800
0.05600,207.27000
0.05900,232.52900
0.06200,272.04800
0.06500,333.37600
0.06900,376.12400
0.07200,412.20500
0.07500,458.15400
0.07800,492.09000
0.08100,534.23400
0.08400,596.32000
0.08800,644.63700
0.09100,685.14200
0.09400,742.75600
0.09700,782.60200
0.10000,809.79000
0.10300,885.35800
0.10700,964.87300
0.10900,994.79500
0.11300,1041.83600
0.11600,1125.79100
0.11900,1178.07900
0.12200,1219.75300
0.12500,1307.90400
0.12800,1396.04700
0.13100,1443.41800
0.13500,1499.22200
0.13700,1570.84000
0.14100,1633.19600
0.14400,1701.10100
0.14700,1773.42900
0.15000,1847.11000
0.15300,1930.92900
0.15600,1997.88400
0.16000,2029.64400
0.16300,2101.94400
0.16600,2244.48500
0.16900,2329.18700
0.17200,2334.84100
0.17500,2403.35100
0.17900,2517.73000
0.18100,2583.02200
0.18500,2645.31400
0.18800,2717.94600
0.19100,2777.57900
0.19400,2839.96100
0.19700,2898.06600
0.20000,2931.33700
0.20400,2980.46600
0.20700,3069.61700
0.21000,3159.27500
0.21300,3223.12600
0.21600,3246.46800
0.21900,3265.89400
0.22200,3343.42300
0.22500,3463.85100
0.22800,3535.86500
0.23200,3508.88000
0.23500,3497.91000
0.23800,3587.01800
0.24100,3691.47300
0.24400,3731.35100
0.24700,3672.20300
0.25000,3642.08900
0.25300,3751.82900
0.25700,3866.54200
0.26000,3886.14400
0.26300,3853.04500
0.26600,3769.33700
0.26900,3829.70100
0.27200,3999.71400
0.27600,4094.21800
0.27800,4135.28300
0.28200,4097.27100
0.28500,3955.20100
0.28800,4041.53500
0.29100,4240.72700
0.29400,4326.37200
0.29700,4417.38000
0.30100,4426.40900
0.30400,4253.71500
0.30700,4279.19100
0.31000,4415.72000
0.31300,4537.61800
0.31600,4651.21000
0.31900,4486.05200
0.32300,4259.95000
0.32500,4297.60000
0.32900,4424.22400
0.33200,4621.22600
0.33500,4724.50600
0.33800,4478.54800
0.34100,4276.45500
0.34500,4284.43400
0.34700,4391.73800
0.35100,4683.61700
0.35400,4742.46500
0.35700,4430.12500
0.36000,4336.44100
0.36300,4393.31100
0.36600,4465.00600
0.37000,4720.96400
0.37200,4745.14400
0.37600,4400.59400
0.37900,4263.15000
0.38200,4288.43300
0.38500,4475.09100
0.38800,4754.23300
0.39100,4685.97000
0.39400,4335.36800
0.39800,4257.91800
0.40100,4288.39800
0.40400,4494.01200
0.40700,4720.15700
0.41000,4532.99600
0.41300,4207.07600
0.41700,4177.29500
0.41900,4237.24900
0.42300,4512.83200
0.42600,4665.13200
0.42900,4406.30200
0.43200,4192.65000
0.43500,4182.40400
0.43800,4182.93200
0.44200,4452.80500
0.44400,4571.09200
0.44800,4278.75600
0.45100,4144.84800
0.45400,4118.19000
0.45700,4133.37500
0.46000,4428.93300
0.46400,4456.29600
0.46600,4168.89200
0.47000,4077.10400
0.47300,4027.47600
0.47600,4135.99200
0.47900,4443.83500
0.48200,4372.07400
0.48500,4109.83600
0.48900,4049.66800
0.49100,4023.18100
0.49500,4207.19100
0.49800,4422.31400
0.50100,4225.73100
0.50400,4005.97000
0.50700,3959.37000
0.51000,3928.26100
0.51400,4167.33400
0.51700,4282.44400
0.52000,4008.50000
0.52300,3879.03400
0.52600,3856.05900
0.52900,3861.81000
0.53200,4131.12200
0.53600,4115.16500
0.53800,3861.37700
0.54200,3863.78400
0.54500,3847.13900
0.54800,3917.35000
0.55100,4177.53200
0.55400,4039.40300
0.55800,3875.37800
0.56000,3925.33200
0.56400,3873.57500
0.56700,4028.64800
0.57000,4192.13400
0.57300,3964.32900
0.57600,3889.54200
0.57900,3911.29900
0.58300,3879.80500
0.58500,4111.16600
0.58900,4156.04100
0.59200,3926.17600
0.59500,3904.23400
0.59800,3862.39400
0.60100,3917.05200
0.60400,4170.97500
0.60700,4011.03900
0.61100,3868.94800
0.61400,3912.22500
0.61700,3803.35800
0.62000,3981.96900
0.62300,4089.92300
0.62600,3864.17200
0.63000,3890.93800
0.63200,3868.99600
0.63600,3815.31800
0.63900,4052.12800
0.64200,3985.37200
0.64500,3871.03300
0.64800,3955.68300
0.65100,3884.47800
0.65500,3946.26400
0.65700,4118.48100
0.66100,3963.35900
0.66400,3941.48200
0.66700,3985.96300
0.67000,3889.37600
0.67300,4063.39500
0.67700,4039.64500
0.67900,3857.00000
0.68300,3953.35300
0.68600,3909.45200
0.68900,3915.49000
0.69200,4047.03200
0.69500,3826.13300
0.69800,3796.82100
0.70200,3881.24600
0.70500,3798.08200
0.70800,3970.91000
0.71100,3954.95800
0.71400,3793.76300
0.71700,3900.36600
0.72000,3868.15500
0.72300,3865.12900
0.72700,4023.60300
0.72900,3900.32100
0.73300,3906.47500
0.73600,3970.42400
0.73900,3858.63500
0.74200,3966.97700
0.74500,3940.26000
0.74900,3843.62900
0.75200,3907.38300
0.75500,3827.23200
0.75800,3818.09700
0.76100,3892.27600
0.76400,3825.83200
0.76700,3887.20900
0.77000,3924.00700
0.77400,3821.81400
0.77700,3836.29500
0.78000,3816.76500
0.78300,3848.40600
0.78600,3973.78400
0.78900,3962.73900
0.79200,3955.69000
0.79500,3977.42800
0.79900,3931.59000
0.80100,3975.57300
0.80500,3990.61500
0.80800,3945.89700
0.81100,4039.79200
0.81400,4008.25100
0.81700,3990.15400
0.82100,4020.21100
0.82400,3925.19800
0.82700,3993.99500
0.83000,4003.25800
0.83300,3927.71900
0.83600,3949.51200
0.83900,3849.88500
0.84200,3849.89100
0.84600,3917.89600
0.84900,3857.58200
0.85200,3905.55300
0.85500,3883.65100
0.85800,3765.86800
0.86100,3788.49300
0.86400,3790.12300
0.86700,3836.23500
0.87100,3908.18300
0.87400,3867.06600
0.87700,3901.67800
0.88000,3935.95600
0.88300,3926.46300
0.88600,3999.42600
0.88900,4005.94100
0.89200,3979.15900
0.89600,4015.19100
0.89900,3961.95100
0.90200,3974.74100
0.90500,4009.89300
0.90800,3936.31800
0.91200,3976.01700
0.91400,3931.19700
0.91800,3871.90100
0.92100,3899.80000
0.92400,3823.09400
0.92700,3868.28600
0.93000,3877.00800
0.93300,3814.71900
0.93600,3892.68000
0.93900,3876.61100
0.94300,3828.77700
0.94600,3898.87700
0.94900,3858.35400
0.95200,3902.73400
0.95500,3947.94600
0.95800,3854.06200
0.96100,3909.57400
0.96500,3926.33800
0.96800,3916.17700
0.97100,3985.84900
0.97400,3942.01300
0.97700,3895.81900
0.98000,3933.40300
0.98300,3895.09100
0.98600,3939.42300
0.99000,3980.39600
0.99300,3892.56800
0.99600,3915.32700
0.99900,3866.57500
1.00200,3872.61900
1.00500,3975.55600
1.00800,3919.11400
1.01100,3921.10000
1.01500,3939.13700
1.01800,3896.54000
1.02100,3961.96600
1.02400,3962.16300
1.02700,3916.26100
1.03100,3977.89000
1.03300,3945.28000
1.03700,3971.31200
1.04000,3986.15900
1.04300,3910.82000
1.04600,3951.83200
1.04900,3946.26600
1.05200,3954.33500
1.05500,3986.57100
1.05800,3906.18500
1.06200,3887.09000
1.06500,3943.26100
1.06800,3939.36300
1.07100,3968.66700
1.07400,3959.99800
1.07700,3880.18500
1.08000,3912.13900
1.08400,3911.80400
1.08700,3928.88000
1.09000,3978.79600
1.09300,3905.86200
1.09600,3903.79300
1.09900,3913.36800
1.10200,3903.87700
1.10500,3963.07000
1.10900,3913.77000
1.11200,3856.96900
1.11500,3897.74100
1.11800,3903.85200
1.12100,3939.65900
1.12400,3950.87400
1.12700,3871.66800
1.13100,3873.66600
1.13400,3908.57200
1.13700,3952.50500
1.14000,3963.16500
1.14300,3885.62100
1.14600,3860.20700
1.15000,3893.26300
1.15200,3952.10200
1.15600,3982.43000
1.15900,3919.13900
1.16200,3828.77400
1.16500,3845.08000
1.16800,3926.42700
1.17100,3950.35300
1.17400,3924.90800
1.17700,3832.04300
1.18100,3792.24800
1.18400,3889.86200
1.18700,3974.05200
1.19000,3969.77500
1.19300,3904.30200
1.19600,3820.28000
1.19900,3846.66300
1.20200,3937.85400
1.20600,3967.08600
1.20900,3924.84800
1.21200,3862.63000
1.21500,3860.24900
1.21800,3932.48400
1.22200,3981.91700
1.22400,3976.86200
1.22800,3972.61300
1.23100,3964.38300
1.23400,3987.15300
1.23700,4052.44100
1.24000,4008.45900
1.24300,3975.56600
